"","PSU","DROP_CD","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","BFISH","OFFICIAL_DEPTH_M","LENGTH_CM","Island"
"1","104","20170310_232508","PRFI","Pristipomoides filamentosus","Opakapaka","BFISH_2017_S",222,46.65392,"Big Island"
"2","104","20170310_232508","APRU","Aphareus rutilans","Lehi","BFISH_2017_S",222,48.70524,"Big Island"
"3","104","20170310_230006","ETCO","Etelis coruscans","Onaga","BFISH_2017_S",242,36.57922,"Big Island"
"4","1178","20161030_234808","PRFI","Pristipomoides filamentosus","Opakapaka","BFISH_2016_F",180.405,33.0264,"Big Island"
"5","12095","20190920_200547","PRFI","Pristipomoides filamentosus","Opakapaka","BFISH_2019_F",156.315,53.92496667,"Maui Nui"
"6","12095","20190920_200547","PRFI","Pristipomoides filamentosus","Opakapaka","BFISH_2019_F",156.315,58.418,"Maui Nui"
"7","12095","20190920_200547","PRFI","Pristipomoides filamentosus","Opakapaka","BFISH_2019_F",156.315,53.6671,"Maui Nui"
"8","12095","20190920_200547","PRFI","Pristipomoides filamentosus","Opakapaka","BFISH_2019_F",156.315,64.22293333,"Maui Nui"
"9","12095","20190920_200547","PRFI","Pristipomoides filamentosus","Opakapaka","BFISH_2019_F",156.315,54.48023333,"Maui Nui"
"10","12095","20190920_200547","PRFI","Pristipomoides filamentosus","Opakapaka","BFISH_2019_F",156.315,51.2599,"Maui Nui"
"11","12095","20190920_200547","PRFI","Pristipomoides filamentosus","Opakapaka","BFISH_2019_F",156.315,64.1731,"Maui Nui"
"12","12095","20190920_200547","PRFI","Pristipomoides filamentosus","Opakapaka","BFISH_2019_F",156.315,50.68443333,"Maui Nui"
"13","12095","20190920_200547","PRFI","Pristipomoides filamentosus","Opakapaka","BFISH_2019_F",156.315,53.4073,"Maui Nui"
"14","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,41.92033333,"Maui Nui"
"15","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,38.00806667,"Maui Nui"
"16","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,111.5969333,"Maui Nui"
"17","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,34.9913,"Maui Nui"
"18","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,36.2469,"Maui Nui"
"19","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,36.99863333,"Maui Nui"
"20","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,35.0383,"Maui Nui"
"21","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,36.975,"Maui Nui"
"22","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,36.7605,"Maui Nui"
"23","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,37.37826667,"Maui Nui"
"24","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,36.81043333,"Maui Nui"
"25","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,37.6546,"Maui Nui"
"26","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,34.16616667,"Maui Nui"
"27","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,37.32103333,"Maui Nui"
"28","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,41.65656667,"Maui Nui"
"29","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,37.50806667,"Maui Nui"
"30","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,38.03473333,"Maui Nui"
"31","12095","20190920_200547","PRSI","Pristipomoides sieboldii","Kalekale","BFISH_2019_F",156.315,38.29426667,"Maui Nui"
