"","PSU","SAMPLE_ID","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","LENGTH_CM","WEIGHT_LB","BFISH","SAMPLE_MEAN_DEPTH_M","Island"
"1","10001","201911040752NAAB","SQSP","Squalus sp.","Green Eye Shark",NA,NA,"BFISH_2019_F",292.1508,"Big Island"
"2","10001","201911040752NAAB","SQSP","Squalus sp.","Green Eye Shark",NA,NA,"BFISH_2019_F",292.1508,"Big Island"
"3","10001","201911040752NAAB","SQSP","Squalus sp.","Green Eye Shark",NA,NA,"BFISH_2019_F",292.1508,"Big Island"
"4","1001","201609260625MIAB","EUIL","Eumegistus illustris","Monchong",64.5,NA,"BFISH_2016_F",253,"Big Island"
"5","1001","201609260625MIAB","SEDU","Seriola dumerili","Greater amberjack",74,NA,"BFISH_2016_F",253,"Big Island"
"6","1001","201609260625MIAB","ETCA","Etelis carbunculus","Ehu",37,NA,"BFISH_2016_F",253,"Big Island"
"7","1001","201609260625MIAB","ETCA","Etelis carbunculus","Ehu",39,NA,"BFISH_2016_F",253,"Big Island"
"8","1001","201609260625MIAB","SEDU","Seriola dumerili","Greater amberjack",63,NA,"BFISH_2016_F",253,"Big Island"
"9","1001","201609260625MIAB","SEDU","Seriola dumerili","Greater amberjack",75,NA,"BFISH_2016_F",253,"Big Island"
"10","1001","201609260625MIAB","SEDU","Seriola dumerili","Greater amberjack",78,NA,"BFISH_2016_F",253,"Big Island"
"11","1001","201609260625MIAB","ETCA","Etelis carbunculus","Ehu",32,NA,"BFISH_2016_F",253,"Big Island"
"12","10011","201911031746NAAB","SQSP","Squalus sp.","Green Eye Shark",NA,NA,"BFISH_2019_F",255.1176,"Big Island"
"13","10011","201911031746NAAB","SQSP","Squalus sp.","Green Eye Shark",NA,NA,"BFISH_2019_F",255.1176,"Big Island"
"14","10011","201911031746NAAB","ETCA","Etelis carbunculus","EHU",32,1.226109832,"BFISH_2019_F",255.1176,"Big Island"
"15","10011","201911031746NAAB","ETCA","Etelis carbunculus","EHU",27,0.733250371,"BFISH_2019_F",255.1176,"Big Island"
"16","10011","201911031746NAAB","ETCA","Etelis carbunculus","EHU",21,0.342752891,"BFISH_2019_F",255.1176,"Big Island"
"17","10011","201911031746NAAB","SQSP","Squalus sp.","Green Eye Shark",NA,NA,"BFISH_2019_F",255.1176,"Big Island"
"18","10027","201709080610MIAB","NONE","NONE","NONE",NA,NA,"BFISH_2017_F",377,"Big Island"
"19","10027","201709080610MIAB","NONE","NONE","NONE",NA,NA,"BFISH_2017_F",377,"Big Island"
"20","10045","201911031340NAAB","SQSP","Squalus sp.","Green Eye Shark",NA,NA,"BFISH_2019_F",367.5888,"Big Island"
