area,subarea,zone,Valid?
1, ,0,No
2, ,0,No
3, ,0,No
4, ,0,No
5, ,0,No
6, ,0,No
7, ,0,No
8, ,0,No
9, ,0,No
10, ,0,No
11, ,0,No
12, ,0,No
13, ,0,No
14, ,0,No
15, ,0,No
16, ,0,No
17, ,0,No
18, ,0,No
19, ,0,No
20, ,0,No
21, ,0,No
22, ,0,No
23, ,0,No
24, ,0,No
25, ,0,No
26, ,0,No
27, ,0,No
28, ,0,No
29, ,0,No
30, ,0,No
31, ,0,No
32, ,0,No
33, ,0,No
34, ,0,No
35, ,0,No
36, ,0,No
37, ,0,No
38, ,0,No
39, ,0,No
40, ,0,No
41, ,0,No
42, ,0,No
43, ,0,No
44, ,0,No
45, ,0,No
46, ,0,No
47, ,0,No
48, ,0,No
49, ,0,No
50, ,0,No
51, ,0,No
52, ,0,No
53, ,0,No
54, ,0,No
55, ,0,No
56, ,0,No
57, ,0,No
58, ,0,No
59, ,0,No
60, ,0,No
61, ,0,No
62, ,0,No
63, ,0,No
64, ,0,No
65, ,0,No
66, ,0,No
67, ,0,No
68, ,0,No
69, ,0,No
70, ,0,No
71, ,0,No
72, ,0,No
73, ,0,No
74, ,0,No
75, ,0,No
76, ,0,No
77, ,0,No
78, ,0,No
79, ,0,No
80, ,0,No
81, ,0,No
82, ,0,No
83, ,0,No
84, ,0,No
85, ,0,No
86, ,0,No
87, ,0,No
88, ,0,No
89, ,0,No
90, ,0,No
91, ,0,No
92, ,0,No
93, ,0,No
94, ,0,No
95, ,0,No
96, ,0,No
97, ,0,No
98, ,0,No
99, ,0,No
100, ,1,
101, ,1,
102, ,1,
103, ,1,
104, ,1,
105, ,1,
106, ,1,
107, ,1,
108, ,1,
109, ,0,No
110, ,0,No
111, ,0,No
112, ,0,No
113, ,0,No
114, ,0,No
115, ,0,No
116, ,0,No
117, ,0,No
118, ,0,No
119, ,0,(pond)
120, ,2,
121, ,2,
122, ,2,
123, ,2,
124, ,2,
125, ,2,
126, ,2,
127, ,2,
128, ,2,
129, ,0,No
130, ,0,No
131, ,0,No
132, ,0,No
133, ,0,No
134, ,0,No
135, ,0,No
136, ,0,No
137, ,0,No
138, ,0,No
139, ,0,No
140, ,0,
141, ,0,
142, ,0,
143, ,0,
144, ,0,
145, ,0,
146, ,0,
147, ,0,
148, ,0,
149, ,0,
150, ,0,
151, ,0,
152, ,0,
153, ,0,
154, ,0,
155, ,0,
156, ,0,
157, ,0,
158, ,0,
159, ,0,
160, ,0,
161, ,0,
162, ,0,
163, ,0,
164, ,0,
165, ,0,
166, ,0,
167, ,0,
168, ,0,
169, ,0,
170, ,0,
171, ,0,
172, ,0,
173, ,0,
174, ,0,
175, ,0,
176, ,0,
177, ,0,
178, ,0,
179, ,0,
180, ,0,
181, ,0,
182, ,0,
183, ,0,
184, ,0,
185, ,0,
186, ,0,
187, ,0,
188, ,0,
189, ,0,
190, ,0,
191, ,0,
192, ,0,
193, ,0,
194, ,0,
195, ,0,
196, ,0,
197, ,0,
198, ,0,
199, ,0,
200, ,0,No
201, ,0,No
202, ,0,No
203, ,0,No
204, ,0,No
205, ,0,No
206, ,0,No
207, ,0,No
208, ,0,No
209, ,0,No
210, ,0,No
211, ,0,No
212, ,0,No
213, ,0,No
214, ,0,No
215, ,0,No
216, ,0,No
217, ,0,No
218, ,0,No
219, ,0,(pond)
220, ,0,No
221, ,0,No
222, ,0,No
223, ,0,No
224, ,0,No
225, ,0,No
226, ,0,No
227, ,0,No
228, ,0,No
229, ,0,No
230, ,0,No
231, ,0,No
232, ,0,No
233, ,0,No
234, ,0,No
235, ,0,No
236, ,0,No
237, ,0,No
238, ,0,No
239, ,0,No
